Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
04/30/2020,2474,9534611,2419.84,2475,2396.01,12.01,94921440,11.92,12.59,11.26,90.94,5366076,93.6,93.9,89.27,419.85,7953975,410.31,424.44,408
04/29/2020,2372.71,4591593,2330.01,2391.89,2310,12.63,113669400,12.1,12.89,12.02,95.99,7369508,90.97,97.45,90.37,411.89,9693137,399.53,415.86,393.6
04/28/2020,2314.08,5269446,2372.1,2373.5,2306,11.26,114643000,10.29,11.63,10.21,87.42,4210942,87.411,88.74,84.52,403.83,10101230,419.99,421,402.9101
04/27/2020,2376,5645645,2443.2,2444.88,2363,10.02,67378760,10.53,10.53,10,85.27,5419851,82.38,86.26,81.53,421.38,6277480,425,429,420.84
04/24/2020,2410.22,3831797,2417,2420.4332,2382,10.31,67234910,10.4,10.5,9.9,80.71,3545323,81.25,82.18,78.4,424.99,8670362,425,427.17,415.88
04/23/2020,2399.45,5066552,2399.98,2424.22,2382.08,10.25,54598510,10.36,10.67,10.24,81.1,4540340,80.45,83.5,79.96,426.7,13952330,419.26,438.413,419.26
04/22/2020,2363.49,4218295,2369,2394,2351,10.27,76320110,11.09,11.13,10.015,80.02,3710079,81.43,82.4747,78.75,421.42,21123770,429.725,433,413
04/21/2020,2328.12,7476679,2416.61,2428.3099,2279.66,11,49882260,10.795,11.22,10.7,79.9,4746956,77.63,80.05,77.11,433.83,23177550,444.77,447,425.6
04/20/2020,2393.61,5770694,2389.95,2444.98,2386.05,11.06,58984770,11.15,11.35,10.72,79.77,4155031,81.61,83.25,79.29,437.49,12655820,435.17,444.49,430.56
04/17/2020,2375,7930010,2372.33,2400,2316.02,11.57,61279470,11.87,11.945,11.5,84.26,5299531,85.295,85.63,82.29,422.96,12616260,431,432,414.695
04/16/2020,2408.19,12038200,2346,2460.9981,2335,11.07,83626980,11.91,12.03,11.05,80.39,5398754,80.09,80.99,76.25,439.17,16128670,437,449.52,431.61
04/15/2020,2307.68,6866567,2257.68,2333.369,2245,12.29,124719900,12.52,12.69,11.39,80.73,4822723,78.02,81.99,77.53,426.75,13561220,413,434.98,412.25
04/14/2020,2283.32,8087193,2200.47,2292,2186.21,11.945,68039490,12.22,12.6,11.75,82.68,6093093,81,83.3,78.86,413.55,11580980,397.5,417.82,394.8468
04/13/2020,2168.87,6716709,2040,2180,2038,11.56,73385530,12.9,12.95,11.25,78.09,4157842,81.56,81.57,75.71,396.72,11692920,371.31,400.51,367.7003
04/09/2020,2042.76,4655617,2044.3,2053,2017.66,12.51,117592800,12.64,13.4,11.82,81.31,10342960,86.036,89.03,79.67,370.72,7711296,371.06,372.1,363.03
04/08/2020,2043,3977313,2021,2044,2011.15,11.33,82718690,10.91,11.4,10.5,82.53,9143563,75.24,83.94,74.96,371.12,6908879,374.01,378.39,368.31
04/07/2020,2011.6,5113983,2017.11,2035.72,1997.62,10.22,138061000,11.07,12.2,10.05,73.82,11850380,78.305,81.98,72.68,372.28,7046438,380,381.33,369.34
04/06/2020,1997.59,5773181,1936,1998.52,1930.02,9.5,94272310,9.72,9.94,9.11,70.59,12186120,64.55,70.9,63.78,379.96,8183921,365.22,380.29,361.71
04/03/2020,1906.59,3609870,1911.15,1926.33,1889.15,9.39,87018880,10.34,10.49,9.09,59.08,10622240,64.36,64.71,57,361.76,4860768,367.47,370.9,357.51
04/02/2020,1918.83,4335985,1901.64,1927.5258,1890,10.06,65534610,10.61,11.03,10,63,8062657,69.29,70.59,61.55,370.08,4592477,364.08,370.99,360.06
04/01/2020,1907.7,4121875,1932.97,1944.96,1893,10.69,56854450,11.45,11.48,10.5,69.15,7651268,70,71.41,67.65,364.08,6672454,376.05,380.233,361.02
03/31/2020,1949.72,5123626,1964.35,1993.02,1944.01,12.19,44851440,12.9,12.96,12.1,74.81,5176088,74.98,79.24,74.52,375.5,9366464,367.93,383.01,366.44
03/30/2020,1963.95,6126087,1922.83,1973.63,1912.34,12.25,50516760,13.2,13.22,11.81,76.16,6097793,76.71,78.43,72.84,370.96,8621964,363,377.8,361.17
03/27/2020,1900.1,5387897,1930.86,1939.79,1899.92,14.04,50783460,14.98,15.22,13.91,78.85,5749800,78.7,82.79,76.25,357.12,7948775,359.09,368.56,353
03/26/2020,1955.49,6235118,1902,1956.49,1889.29,15.66,77627480,16.06,17.24,15.16,82.81,10449610,87.6,96.003,80.59,362.99,7235016,344,363.84,341.73
03/25/2020,1885.84,6479073,1920.69,1950.26,1885.78,15.39,93795090,16.69,16.99,14.31,85.25,8717945,83.505,92.68,79.23,342.39,8767171,361.02,362,339.17
03/24/2020,1940.1,7147080,1951.495,1955,1900.3403,13.92,101553100,11.9565,14.81,11.5401,79.14,9113056,76.05,81.3606,75,357.32,11638680,369.99,372.93,353.0301
03/23/2020,1902.83,7808489,1827.75,1919.4,1812,10.25,56427280,10.9,11.36,10.01,70.13,12931810,75.02,80.7,67.28,360.27,13449380,347.89,366.11,340.8838
03/20/2020,1846.09,9817850,1926.31,1957,1820.73,10.38,62681780,10.653,12,10.3,74.58,18154670,73.71,84,69.52,332.83,10853850,342.31,350.49,332
03/19/2020,1880.93,10399940,1860,1945,1832.65,10.29,71584500,11.6,12.16,10.01,66.8,17497680,61.18,72.7,52.65,332.03,10615960,324.33,348.51,316.82
03/18/2020,1830,9645218,1750,1841.66,1745,11.65,78458780,14.24,14.28,10.17,63.81,25881830,67.15,67.16,46.5622,315.47,12593650,302.395,331.5794,300
03/17/2020,1807.84,10917130,1775.47,1857.775,1689.2402,15.58,58055820,15.785,18.49,14.79,75.24,12101620,87.52,89.61,67.74,319.75,10013910,306.19,322.9,290.25
03/16/2020,1689.15,8917265,1641.51,1759.4519,1626.0318,15.92,84916840,12.407,16.2,12,86.42,9327208,84.68,91.0734,78.12,298.84,10559940,306.63,334.35,294.75
03/13/2020,1785,8809725,1755,1786.31,1680.62,14.31,58376120,15.3,15.6,13.12,95.61,8552816,98.23,100.78,91.6,336.295,9458197,330.51,336.42,307.39
03/12/2020,1676.61,11346210,1721.98,1765,1675,13.45,53968490,14.05,15.75,13.33,93.71,9065674,90,97.81,88.76,315.25,12071590,326.5,335.72,307.32
03/11/2020,1820.86,5646831,1857.85,1871.3194,1801.5,16.26,43778180,16.31,16.49,15.52,100.11,8901640,106.2,106.5,99.56,349.92,6058782,358.92,362.98,344.79
03/10/2020,1891.82,7133310,1870.88,1894.27,1818.17,17,56972740,15.82,17.67,14.61,109.98,5395484,108.83,110.03,102.8,364.13,7604444,356.425,364.54,347.85
03/09/2020,1800.61,7813232,1773.86,1862.77,1761.2901,14.75,42558020,14.87,15.79,14.46,104.19,6687359,102,108.92,101.76,346.49,7405458,343.86,357.47,341.7209
03/06/2020,1901.09,5273580,1875,1910.87,1869.5,15.97,54504970,15.02,17.12,14.8,110.66,6790291,104.64,113.62,103.89,368.97,8147165,367.7,371.31,356.85
03/05/2020,1924.03,4748210,1933,1960.72,1910,16.04,44656810,17.54,17.65,15.98,110.22,6977165,113.79,115,108.8,372.78,8746985,381,391.4,368.6401
03/04/2020,1975.83,4772919,1946.57,1978,1922,18.53,44362090,18.36,18.55,17.3,118.33,7343706,115.49,118.54,111.28,383.79,5487340,377.77,384.01,370.51
03/03/2020,1908.99,7534491,1975.37,1996.33,1888.0901,17.85,35402450,19.66,19.79,17.8,114.28,6796506,122.76,123.74,113.88,368.77,8364623,381.03,393.52,367.4
03/02/2020,1953.95,6761651,1906.49,1954.51,1870,18.86,38738000,19.05,19.06,17.51,122.96,6375455,123.07,123.68,116.6422,381.05,6997891,373.11,381.36,364.502
02/28/2020,1883.75,9493797,1814.63,1889.76,1811.129,19.05,37166400,19.8,20.35,18.77,124,6660793,116.25,124.33,116,369.03,11178570,364.21,376.77,356.8
02/27/2020,1884.3,8143993,1934.38,1975,1882.7621,20.6,31897330,20.85,22.48,19.77,119.64,6958568,117,127.28,114.46,371.71,10967700,371.46,391.5624,370.5962
02/26/2020,1979.59,5240402,1970.28,2014.67,1960.45,22.31,19631370,23.57,23.75,22.11,120.19,4964341,126.29,127.67,119.85,379.24,8961126,366.31,382,365
02/25/2020,1972.74,6219094,2026.42,2034.6,1958.42,23.12,22296880,25.62,25.75,23.05,124.08,5128449,135.99,136.05,123.48,360.09,6481243,372,375.65,357.72
02/24/2020,2009.29,6546997,2003.18,2039.295,1987.9742,25.45,21713200,25.98,26.11,25,134.83,3197451,136.82,137.38,134.22,368.7,6936418,364.76,372.82,361
02/21/2020,2095.97,4650740,2142.15,2144.55,2088,27.82,11256490,28.12,28.3,27.17,143.24,1858050,145.38,145.52,142.54,380.07,3935618,385.33,387.32,377.9008
02/20/2020,2153.1,3131342,2173.07,2176.79,2127.45,28.51,10093420,28.24,28.9,28.2024,146.84,1279602,147.53,148.9097,146.27,386,4079425,386.56,389.7,376.68
02/19/2020,2170.22,2561165,2167.8,2185.1,2161.12,28.33,8401025,28.84,28.88,28.31,147.63,2018045,144.56,147.91,144.56,386.19,4896368,388.12,392.95,384.9
02/18/2020,2155.67,2951070,2125.02,2166.07,2124.105,28.63,10486460,29.04,29.345,28.49,144.94,2353889,144.23,145.86,144.23,387.78,5180400,379.3,389.54,379.19
02/14/2020,2134.87,2606169,2155.68,2159.0352,2125.89,29.2,5524788,30.01,30.27,29.14,144.9,2441278,146.98,147.36,143.9,380.4,3736266,381.47,385.15,379.4342
02/13/2020,2149.87,3031791,2144.99,2170.28,2142,30.09,9119433,30.03,30.4,29.73,146.72,1933876,149.45,149.53,146.66,381.4,4485383,376.96,385.37,376.51
02/12/2020,2160,3334264,2163.2,2180.2494,2155.29,30.47,9315375,30,30.78,29.99,150.78,1583792,148.04,150.97,148.04,380.01,4624772,377.18,380.62,375.88
02/11/2020,2150.8,5746011,2150.9,2185.95,2136,29.84,8977738,29.06,29.94,28.97,147.19,1461280,145.87,148.95,145.22,373.69,4772870,373.75,378.11,369.72
02/10/2020,2133.91,5056235,2085.01,2135.6,2084.96,28.79,15134340,28.19,28.81,27.98,145.73,1169798,143.01,145.845,142.45,371.07,5294138,365,374.8,362.52
02/07/2020,2079.28,5095347,2041.99,2098.53,2038.1,28.38,6231754,28.06,28.55,27.78,144.07,1717590,144.91,145.4,142.78,366.77,4385227,365.04,371.8,363.57
02/06/2020,2050.23,3182954,2041.02,2056.3,2024.8001,28.3,8335783,29.26,29.4498,28.14,146.22,1065851,148.29,148.87,145.78,366.95,3920428,369.6,371.5499,362.505
02/05/2020,2039.87,4376174,2071.02,2071.02,2032,29.1,8959684,28.96,29.24,28.545,147.71,1872525,149.72,150.17,147.31,369.67,6437026,375.125,375.25,362.3
02/04/2020,2049.67,5289338,2029.88,2059.8,2015.37,28.43,10832930,27.68,28.61,27.55,147.4,1812857,144.47,148.24,143.6775,369.01,7161451,361,369.57,356.0964
